DrugID,DrugName,CID,ChEBI_ID
277,Arbekacin,68682,CHEBI:37922
278,Arbutamine,60789,CHEBI:50580
279,Arecoline,2230,CHEBI:2814
280,Arformoterol,3083544,CHEBI:408174
281,Argatroban,92722,CHEBI:94385
282,Aripiprazole,60795,CHEBI:31236
283,Aripiprazole lauroxil,49831411,CHEBI:90930
284,Arketamine,644025,CHEBI:580604
285,Armodafinil,9690109,CHEBI:77590
286,Arotinolol,2239,CHEBI:135569
287,Arsenic trioxide,14888,
288,Artefenomel,24999143,
289,Artemether,68911,CHEBI:195280
290,Artemisinin,68827,CHEBI:223316
291,Artemotil,3000469,CHEBI:135335
292,Artenimol,3000518,CHEBI:135921
293,Artesunate,6917864,CHEBI:63918
294,Articaine,32170,CHEBI:91834
295,Asciminib,72165228,
296,Ascorbic acid,54670067,CHEBI:29073
297,Asenapine,163091,CHEBI:71257
298,Aspartame,134601,CHEBI:2877
299,Aspartic acid,5960,CHEBI:17053
300,Aspoxicillin,71961,CHEBI:31240
301,Astaxanthin,5281224,CHEBI:40968
302,Astemizole,2247,CHEBI:2896
303,Asunaprevir,16076883,CHEBI:134723
304,Ataluren,11219835,CHEBI:94805
305,Atamestane,57050,
306,Atazanavir,148192,CHEBI:37924
307,Aticaprant,44129648,
308,Atipamezole,71310,CHEBI:230832
309,Atogepant,72163100,CHEBI:196955
310,Atomoxetine,54841,CHEBI:127342
311,Atorvastatin,60823,CHEBI:39548
312,Atosiban,5311010,CHEBI:135899
313,Atovaquone,74989,CHEBI:575568
314,Atracurium besylate,47320,CHEBI:2915
315,Atrasentan,159594,CHEBI:135810
316,Atropine,174174,CHEBI:16684
317,Auranofin,16667669,
318,Aurodox,135509117,
319,Aurothioglucose,6104,CHEBI:2930
320,Avacopan,49841217,
321,Avanafil,9869929,CHEBI:66876
322,Avapritinib,118023034,
323,Avasimibe,166558,CHEBI:177719
324,Avatrombopag,9852519,
325,Avibactam,9835049,CHEBI:85984
326,Avilamycin,71674,
327,Axelopran,67156338,
328,Axitinib,6450551,CHEBI:66910
329,Azacitidine,9444,CHEBI:2038
330,Azaperone,15443,CHEBI:88301
331,Azapropazone,26098,CHEBI:38010
332,Azatadine,19861,CHEBI:2946
333,Azathioprine,2265,CHEBI:2948
334,Azelaic acid,2266,CHEBI:48131
335,Azelastine,2267,CHEBI:2950
336,Azelnidipine,65948,CHEBI:31247
337,Azidamfenicol,62858,CHEBI:135238
