DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
1795,Magnesium orotate,3036905.0,C1=C(NC(=O)NC1=O)C(=O)[O-].C1=C(NC(=O)NC1=O)C(=O)[O-].[Mg+2],334.48,,197.0,4.0,8.0,0.0,PubChem,Available
1796,Magnesium silicate,72941442.0,[O-2].[O-2].[O-2].[Mg+2].[Si+4],100.39,,3.0,0.0,3.0,0.0,PubChem,Available
1797,Magnesium trisilicate,5311266.0,[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2],260.86,,145.0,0.0,8.0,2.0,PubChem,Available
1801,Mangafodipir,76967443.0,CC1=C(C(=CC(=N1)COP(=O)(O)[O-])CN(CCN(CC2=CC(=NC(=C2O)C)COP(=O)(O)[O-])CC(=O)O)CC(=O)O)O.[Mn+2],691.4,,287.0,6.0,18.0,17.0,PubChem,Available
1864,Mersalyl,9806195.0,COC(CNC(=O)C1=CC=CC=C1OCC(=O)[O-])C[Hg+].[OH-].[Na+],505.85,,88.7,2.0,6.0,7.0,PubChem,Available
1871,Metadoxine,115198.0,CC1=NC=C(C(=C1O)CO)CO.C1CC(=O)NC1C(=O)O,298.29,,140.0,5.0,7.0,3.0,PubChem,Available
1907,Methylene blue,6099.0,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],319.9,,43.9,0.0,4.0,1.0,PubChem,Available
1920,Methylselenocysteine,147004.0,C[Se]CC(C(=O)O)N,182.09,,63.3,2.0,3.0,3.0,PubChem,Available
1953,Mifamurtide,123133557.0,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)C(C)NC(=O)CCC(C(=O)N)NC(=O)C(C)NC(=O)C(C)OC(C(C=O)NC(=O)C)C(C(CO)O)O)OC(=O)CCCCCCCCCCCCCCC.O.[Na+],1277.5,,388.0,10.0,20.0,58.0,PubChem,Available
1990,Montmorillonite,71586775.0,O.[O-2].[O-2].[O-2].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3],360.31,,141.0,1.0,12.0,0.0,PubChem,Available
1998,Motexafin gadolinium,158385.0,CCC1=C(C2=CC3=NC(=CN=C4C=C(C(=CC4=NC=C5C(=C(C(=N5)C=C1[N-]2)CCCO)C)OCCOCCOCCOC)OCCOCCOCCOC)C(=C3CCCO)C)CC.CC(=O)[O-].CC(=O)[O-].[Gd+3],1148.4,,245.0,2.0,19.0,28.0,PubChem,Available
2101,Nitroprusside,,,,,,,,,,Unresolved
2136,Octylphenoxy polyethoxyethanol,,,,,,,,,,Unresolved
2214,PRX-08066,76972919.0,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)Cl)CC4=CC(=C(C=C4)F)C#N.C(=CC(=O)O)C(=O)O,518.0,,168.0,3.0,11.0,6.0,PubChem,Available
2217,Padeliporfin,171041442.0,[H+].[H+].CCC1C(C2=NC1=CC3=C(C(=C([N-]3)C(=C4C(C(C(=N4)C=C5C(=C(C(=C2)[N-]5)C(=O)C)C)C)CCC(=O)[O-])CC(=O)OC)C(=O)NCCS(=O)(=O)[O-])C)C.[Pd+2],840.3,,205.0,3.0,13.0,10.0,PubChem,Available
